,Open,High,Low,Close,Volume,Dividends,Stock Splits,fast_ma,slow_ma,ma_signal,bollinger_high,bollinger_low,bollinger_signal,ema,ema_signal,envelope_high,envelope_low,envelope_signal,macd_line,macd_signal_line,macd_signal,rsi,rsi_signal,atr,stochastic,stochastic_signal,cci,cci_signal,ad_line,chaikin,chaikin_signal,williams_r,williams_r_signal,momentum,momentum_signal,roc,roc_signal,obv,obv_signal,adl,adl_signal,sar,sar_signal,kc_middle,kc_high,kc_low,kc_signal,donchian_high,donchian_low,donchian_signal,ma_envelope_high,ma_envelope_low,ma_envelope_signal,hma,hma_signal,wma,wma_signal,vwap,vwap_signal,ulcer,ulcer_signal,cmo,cmo_signal,ha_close,ha_open,ha_high,ha_low,ha_signal,tenkan_sen,kijun_sen,senkou_span_a,senkou_span_b,chikou_span,ichimoku_signal,trix,trix_signal,proc,proc_signal,combined_signal_1,combined_signal_2,Year,Month,Day,Weekday,pr_change_on_last_day,sentiment,model_2_sentiment
2020-01-02,9.207416234882233,9.243173156371567,9.144840982891706,9.198476791381836,5688000,0.0,0.0,9.068410921096802,8.788702087402344,1,9.344255979604009,8.792565862589596,0,9.07193322543591,1,9.521831467151642,8.614990375041963,0,0.08803146813074925,0.08226176284291095,1,61.956408299956166,0,0.1111024577516203,82.97851388414179,-1,73.68369359543884,0,517099.8751561493,445997.58524858183,1,-17.021486115858202,-1,0.19666290283203125,1,2.1847030528167664,1,1297301700.0,-1,1347781565.2782116,1,9.199013156890869,-1,9.068410921096802,9.290615836600043,8.846206005593562,0,9.269991735612656,8.742574035940699,0,9.295121194124222,8.841700648069382,0,9.296473312377929,-1,9.130623794737316,1,4.516584237761454,1,0.06655378712281845,-1,23.912816599912333,0,9.198476791381836,9.153781217672952,9.243173156371567,9.144840982891706,1,9.144841124532928,8.9481779379941,8.688933669622788,9.156291941111341,9.761649131774902,1,8.905890682067515,1,0.020833344358058812,1,1,0,2020,1,2,3,0.0,1,1
2020-01-03,9.198477389302859,9.252113201279432,9.171659909570728,9.21635627746582,6992200,0.0,0.0,9.088524341583252,8.811944122314452,1,9.344215963727905,8.8328327194386,0,9.085687801819711,1,9.542950558662415,8.634098124504089,0,0.08838036789358839,0.08348548385304644,1,65.5554633602807,0,0.10599431583095484,81.8182409332451,-1,78.60312502325941,0,776927.5759759545,350385.0301666669,1,-18.181759066754903,-1,0.25029945373535156,1,2.7916335871626847,1,1304293900.0,1,1348558492.8541875,1,9.21599868774414,1,9.088524341583252,9.300512973245162,8.876535709921342,0,9.269991735612656,8.805150177313298,0,9.315737450122832,8.86131123304367,0,9.284964025020598,-1,9.144713828677222,1,4.517118944744287,1,0.066037200750833,1,31.11092672056139,0,9.209651694404709,9.202946513132034,9.252113201279432,9.171659909570728,1,9.149311068272052,8.948178221779717,8.590608369551422,9.156291941111341,9.78846549987793,1,8.919561906892369,1,0.017769163481064262,1,1,0,2020,1,3,4,0.0019437442186880372,0,1
2020-01-06,9.135904014179584,9.162721496930542,9.091207641253051,9.126964569091797,10068900,0.0,0.0,9.102827215194703,8.832861976623535,1,9.330686074603753,8.874968355785652,0,9.08961892251229,1,9.557968575954439,8.647685854434966,0,0.08051557623755912,0.08289150232994899,-1,56.84215491073985,0,0.10790981396722328,46.667277477761225,0,19.759478271888945,0,0.0,32213.38980747375,1,-53.332722522238775,0,0.1162118911743164,1,1.289702373688662,1,1294225000.0,-1,1348558492.8541875,-1,9.128752403259277,-1,9.102827215194703,9.31864684312915,8.887007587260255,0,9.269991735612656,8.849846609951785,0,9.330397895574569,8.875256534814834,0,9.267309093475342,-1,9.148374802725655,-1,4.517874076063415,1,0.07199189980222606,-1,13.684309821479706,0,9.129199430363743,9.20741683338434,9.20741683338434,9.091207641253051,-1,9.149311068272052,8.94817829415424,8.590608369551422,9.107724271133984,10.029825210571289,1,8.933185259294662,1,-0.007774354810248554,-1,0,0,2020,1,6,0,-0.009699246175257747,0,1
2020-01-07,9.046509243989751,9.091205606914581,9.028631210327148,9.028631210327148,10589100,0.0,0.0,9.109978580474854,8.853779792785645,1,9.317172679213357,8.90278448173635,0,9.083810568970847,-1,9.565477509498598,8.65447965145111,0,0.06559188946898864,0.07943157975775693,-1,48.51488808847296,0,0.11046396473407302,0.0,1,-44.607798811243605,0,-10589100.0,-3470135.3166856025,-1,-100.0,1,-0.02681732177734375,-1,-0.2961457036862136,-1,1283635900.0,-1,1337969392.8541875,-1,9.03059787750244,-1,9.109978580474854,9.330906509943,8.889050651006707,0,9.269991735612656,8.849846609951785,0,9.337728044986724,8.882229115962982,0,9.237921380996704,-1,9.141308516547793,-1,4.51865101655813,1,0.0905666727835303,-1,-2.9702238230540914,0,9.048744317889657,9.13143429163569,9.13143429163569,9.028631210327148,-1,9.14037220580329,8.94817829415424,8.590608369551422,9.107724271133984,9.922554016113281,1,8.946377580363446,1,-0.022265364026530763,-1,0,0,2020,1,7,1,-0.010773938916959436,0,1
2020-01-08,8.939239132366213,9.046509899653135,8.9302996886309,9.019692420959473,13440400,0.0,0.0,9.116683006286621,8.869691638946533,1,9.300687144166172,8.93267886840707,0,9.07770407868405,-1,9.572517156600952,8.66084885597229,0,0.05243899054725709,0.07403306191565698,-1,38.3722415946867,0,0.10663285571664119,26.31581549313515,0,-92.59250303320417,0,7237199.137292167,1084556.7849497919,1,-73.68418450686485,0,-0.17878437042236328,-1,-1.9436301735290404,-1,1270195500.0,-1,1345206591.9914796,1,9.019871196746825,-1,9.116683006286621,9.329948717719903,8.90341729485334,0,9.269991735612656,8.849846609951785,0,9.344600081443787,8.888765931129456,0,9.204846251010895,-1,9.132709834689186,-1,4.519634822700972,1,0.10719173332628167,-1,-23.255516810626613,0,8.983935285402431,9.03757022715845,9.046509899653135,8.9302996886309,-1,9.091206444955166,8.94817829415424,8.590608369551422,9.107723733022356,9.842103958129883,1,8.958857479615217,1,-0.01752672685088279,-1,0,0,2020,1,8,2,-0.000990049228885459,1,1
2020-01-09,9.126961496556472,9.39513879132303,9.073325696598314,9.36832046508789,28436900,0.0,0.0,9.136349201202393,8.893291187286376,1,9.339655768872886,8.9330426335319,-1,9.105381829770131,1,9.593166661262513,8.679531741142272,0,0.06934720157270036,0.07309588984706566,-1,56.19818461552026,0,0.12834224329755095,94.2306217183925,-1,132.6023707362368,-1,23697316.224091887,8086553.828241474,1,-5.769378281607497,-1,0.13408565521240234,1,1.4520494439778093,1,1298632400.0,1,1368903908.2155714,1,9.361347904205322,1,9.136349201202393,9.393033687797494,8.87966471460729,0,9.39513879132303,8.849846609951785,0,9.364757931232452,8.907940471172333,-1,9.183503830432892,1,9.156675306955973,1,4.521876070174824,1,0.10719173332628167,-1,12.396369231040518,0,9.240936612391426,8.979465776662842,9.39513879132303,8.979465776662842,1,9.162719239976965,9.010752049060684,8.624130601204762,9.072401759419378,10.02088737487793,1,8.97112359863007,1,0.018464325948529137,1,0,0,2020,1,9,3,0.03865187723234276,1,0
2020-01-10,9.922555867686572,9.967251381742878,9.493471942145302,9.520289421081543,30794600,0.0,0.0,9.16227297782898,8.917248344421386,1,9.418646024435093,8.905899931222867,-1,9.144896838466456,1,9.62038662672043,8.70415932893753,0,0.09392697363403357,0.07726210660445926,1,64.39387571688121,0,0.16026811455504916,56.896549412059386,0,368.47872124050934,-1,-27308448.141863532,-6013240.936692423,-1,-43.103450587940614,0,0.339691162109375,1,3.700098321777624,1,1329427000.0,1,1341595460.0737078,-1,9.51725004196167,1,9.16227297782898,9.482809206939079,8.841736748718882,-1,9.967251381742878,8.849846609951785,0,9.391329802274704,8.933216153383256,-1,9.183392059803008,1,9.193241042182558,1,4.524376835461626,1,0.10622888634456568,1,28.787751433762438,0,9.725892153164075,9.247640980822181,9.967251381742878,9.247640980822181,1,9.44877553518689,9.354912708841788,8.677765951432075,9.037079964297055,10.101341247558594,1,8.983792031283325,1,0.03498542606545653,1,1,0,2020,1,10,4,0.016221579584086765,1,1
2020-01-13,9.788466466718353,9.815283944829224,9.654378223651737,9.725892066955566,13659600,0.0,0.0,9.200264739990235,8.945138759613037,1,9.544388992039556,8.856140487940914,-1,9.200229717370181,1,9.660277976989747,8.740251502990724,-1,0.12851558761353132,0.08751280280627367,1,69.28097328934899,0,0.17559248864566449,76.7241505664577,0,317.40091505401205,-1,-1517701.1682551883,-3028533.7637725063,-1,-23.27584943354231,0,0.5274152755737305,1,5.733724045136171,1,1343086600.0,1,1340077758.9054527,-1,9.721780014038085,1,9.200264739990235,9.551449717281564,8.849079762698906,-1,9.967251381742878,8.9302996886309,0,9.43027135848999,8.97025812149048,-1,9.211774098873137,1,9.246919050670805,1,4.525530920162675,1,0.1057981340064656,1,38.561946578698,0,9.74600517553872,9.721422644384058,9.815283944829224,9.654378223651737,1,9.44877553518689,9.386200779528089,8.668826439248111,8.957604584682915,10.154974937438965,1,8.99763505006016,1,0.06249998046556548,1,1,0,2020,1,13,0,0.021596260027425318,0,1
2020-01-14,9.716952023861046,9.74376950031723,9.627560151503028,9.708012580871582,15188300,0.0,0.0,9.23512773513794,8.967844390869141,1,9.635150526242782,8.835104944033098,-1,9.2485899900846,1,9.696884121894838,8.773371348381042,-1,0.15272408015927574,0.10055505827687408,1,68.38697910034793,0,0.17942349556164125,74.99991536796676,0,214.35537104186284,-1,5841602.420881292,809400.6547629314,1,-25.000084632033236,0,0.5095357894897461,1,5.539349623267369,1,1327898300.0,-1,1345919361.326334,1,9.708370170593263,-1,9.23512773513794,9.593974726261223,8.876280744014657,-1,9.967251381742878,8.9302996886309,0,9.466005928516388,9.004249541759492,-1,9.273343050479887,1,9.2952759878976,1,4.5268091520235725,1,0.10547392107108608,1,36.77395820069585,0,9.69907356413822,9.75717926683696,9.75717926683696,9.627560151503028,-1,9.44877553518689,9.408548995847331,8.704583798402567,8.957604584682915,10.199670791625977,1,9.01305758867705,1,0.0678465553739607,1,1,-1,2020,1,14,1,-0.001838338937024786,0,1
2020-01-15,9.681195857807957,9.77058858963474,9.591803125981174,9.699074745178223,11884300,0.0,0.0,9.267309045791626,8.991622772216797,1,9.707963125584403,8.826654965998848,0,9.291493300093517,1,9.730674498081207,8.803943593502044,0,0.1692374127234597,0.11429152916619122,1,70.19860110216193,-1,0.1870857905602939,74.13798170676253,0,163.1688393329501,-1,2376905.3348338353,1203479.239079335,1,-25.862018293237472,0,0.5452938079833984,1,5.9570336205850225,1,1316014000.0,-1,1348296266.6611679,1,9.69925350189209,-1,9.267309045791626,9.641480626912214,8.893137464671037,-1,9.967251381742878,8.9302996886309,0,9.498991771936415,9.035626319646834,-1,9.344745230674743,1,9.339461417425246,1,4.527807158397527,1,0.10350735497798103,1,40.39720220432387,0,9.685665579650523,9.712482302366315,9.77058858963474,9.591803125981174,-1,9.44877553518689,9.408548995847331,8.771627678034582,8.957604584682915,10.029825210571289,1,9.030215472239387,1,0.05750489072578641,1,0,0,2020,1,15,2,-0.00092066585399464,0,1
